tool_slug,market_code,query_text,intent_fit,competition_strength,localization_gap,representative_domain,representative_url,representative_title,observation,observed_at
json-formatter,JP,JSON 整形,5,4,2,luft.co.jp,https://www.luft.co.jp/cgi/json-formatting.php,JSON整形ツール,"日语本地工具和新工具站数量多；可用浏览器隐私与错误诊断做工具簇，但非单点突破。",2026-07-17
password-generator,JP,パスワード 生成,5,4,2,1password.com,https://1password.com/ja/password-generator,パスワード生成,"密码管理品牌和通用工具均覆盖，用户信任要求高。",2026-07-17
invoice-generator,KR,인보이스 생성기,3,2,3,wix.com,https://ko.wix.com/blog/post/what-is-an-invoice,인보이스 작성법,"查询结果更偏解释文章而非韩国本地发票生成器；存在语言与业务流程偏差，需先验证 세금계산서 等本地词。",2026-07-17
pdf-compressor,KR,PDF 압축,5,5,1,smallpdf.com,https://smallpdf.com/kr/compress-pdf,PDF 압축,"Smallpdf 等成熟全球产品提供完整韩语体验，竞争极强。",2026-07-17
image-compressor,KR,이미지 압축,5,4,2,media.io,https://www.media.io/ko/image-compressor.html,온라인 이미지 압축기,"全球图片工具已韩语化；本地结果不弱，差异化空间有限。",2026-07-17
image-resizer,KR,이미지 크기 조절,5,4,2,i2img.com,https://www.i2img.com/ko/resize-image,이미지 크기 조절,"工具意图成立，既有全球本地化工具也有韩国应用，适合作为簇内功能。",2026-07-17
qr-code-generator,KR,QR 코드 생성기,5,5,1,url.kr,https://url.kr/p/qr/,무료 QR코드 생성기,"URL.KR、Naver 与韩国设计站均提供本地 QR 功能，竞争强。",2026-07-17
character-counter,KR,글자 수 세기,5,5,1,saramin.co.kr,https://www.saramin.co.kr/zf_user/tools/character-counter,글자수 세기,"Naver、Saramin 等强平台把字符计数嵌入求职写作场景，本地壁垒明显。",2026-07-17
whatsapp-link-generator,KR,WhatsApp 링크 생성,1,1,1,,,,"结果主要指向 WhatsApp 应用而非链接生成工具；韩国本地主流通讯工作流不同，拒绝该核心词。",2026-07-17
resume-builder,KR,이력서 작성,5,5,1,saramin.co.kr,https://m.saramin.co.kr/help/guide/person?type=experience,사람인 이력서 관리,"Saramin、JobKorea 等招聘平台已覆盖在线履历创建和投递闭环。",2026-07-17
json-formatter,KR,JSON 포맷터,5,3,3,itool.co.kr,https://itool.co.kr/text/json-parser/,JSON 포맷터,"有韩语本地开发工具但品牌集中度较低；隐私、本地运行与 JSONL 支持值得研究。",2026-07-17
password-generator,KR,비밀번호 생성기,5,3,3,utilbox.io.kr,https://www.utilbox.io.kr/,한국어 무료 웹 도구,"公开结果分散，精确本地强品牌较少；适合作为韩国安全/开发工具簇的补充。",2026-07-17
invoice-generator,ID,generator invoice,5,4,1,invoicegratis.id,https://invoicegratis.id/,Generator Invoice UMKM Indonesia,"精确本地产品已支持 Rupiah、PPN 与 QRIS；需求强但通用版本缺乏优势。",2026-07-17
pdf-compressor,ID,kompres PDF,5,5,1,pdf24.org,https://tools.pdf24.org/id/kompres-pdf,Kompres PDF,"PDF24、Canva、Smallpdf、Adobe 及本地专域同时竞争，极度拥挤。",2026-07-17
image-compressor,ID,kompres gambar,5,4,2,imagecompressor.com,https://imagecompressor.com/id/,Kompres gambar,"已有完整印尼语工具，功能同质化明显。",2026-07-17
image-resizer,ID,ubah ukuran gambar,5,4,2,imageresizer.com,https://imageresizer.com/id,Pengubah Ukuran Gambar,"全球工具提供印尼语页面，本地强品牌不突出但通用功能竞争仍高。",2026-07-17
qr-code-generator,ID,generator kode QR,5,3,3,genqrcode.com,https://genqrcode.com/id,Pembuat kode QR gratis,"印尼语结果以全球本地化工具为主，本地业务模板仍有一定空间。",2026-07-17
character-counter,ID,penghitung karakter,5,3,4,txtmetrics.com,https://www.txtmetrics.com/id,Penghitung karakter,"结果多为泛语言工具，本地强品牌较少；商业价值低但可作为印尼工具簇低成本入口。",2026-07-17
whatsapp-link-generator,ID,buat link WhatsApp,5,5,1,wasap.at,https://www.wasap.at/,Generator Link Chat WhatsApp,"WASAP、WAME.ID 等精确本地产品成熟，需求成立但竞争强。",2026-07-17
resume-builder,ID,pembuat CV,5,5,1,resumeku.id,https://resumeku.id/,CV Builder Indonesia,"ResumeKu、BikinCV、BuatCV 等大量本地产品已覆盖 ATS 与 AI，竞争很强。",2026-07-17
json-formatter,ID,formatter JSON,5,3,3,jsonvalidator.dev,https://jsonvalidator.dev/id/format,Formatter JSON,"结果主要为全球站的印尼语页面，本地品牌壁垒弱；可作为开发者工具簇验证。",2026-07-17
password-generator,ID,generator kata sandi,5,3,3,passgen.co,https://passgen.co/id/,Generator Kata Sandi,"印尼语结果存在但本地品牌集中度低；信任和安全解释是关键。",2026-07-17
invoice-generator,VN,tạo hóa đơn,3,4,2,ehoadon.org,https://ehoadon.org/,Hóa Đơn Điện Tử,"查询更偏合规电子发票 SaaS 而非一次性生成器；需要改查 hóa đơn bán hàng 或 mẫu hóa đơn 等真实词。",2026-07-17
pdf-compressor,VN,nén PDF,5,5,1,wps.com,https://pdf.wps.com/vi/nen-pdf/,Nén PDF trực tuyến,"WPS 与全球 PDF 套件已完整越南语化，竞争强。",2026-07-17
image-compressor,VN,nén ảnh,5,3,3,vizua.io,https://vizua.io/vi/,Công cụ chỉnh sửa ảnh trực tuyến,"有越南语工具但强本地品牌较少；浏览器隐私和证件照场景可继续研究。",2026-07-17
image-resizer,VN,thay đổi kích thước ảnh,5,4,2,chungdoi.com,https://chungdoi.com/vi/thay-doi-kich-thuoc-anh,Thay đổi kích thước ảnh,"本地工具已支持越南证件照和批量处理，通用版本竞争中高。",2026-07-17
qr-code-generator,VN,tạo mã QR,5,5,1,qrc.vn,https://qrc.vn/,Tạo Mã QR Code Miễn Phí,"QRC.vn、VNQR、QRCode.vn 等大量本地专站，强竞争。",2026-07-17
character-counter,VN,đếm ký tự,5,2,4,toolnhanh.com,https://toolnhanh.com/,Công cụ trực tuyến cho người Việt,"精确本地专页较少，结果较分散；商业价值低，但适合越南文本工具簇。",2026-07-17
whatsapp-link-generator,VN,tạo link WhatsApp,1,1,1,,,,"结果没有形成稳定本地工具意图；越南更需验证 Zalo 相关工作流，拒绝该核心词。",2026-07-17
resume-builder,VN,tạo CV,5,5,1,timviec365.vn,https://timviec365.vn/cv-xin-viec,Mẫu CV xin việc,"本地招聘与 CV 平台数量多且模板规模大，通用 CV 生成器竞争极强。",2026-07-17
json-formatter,VN,định dạng JSON,5,3,3,omnifile.co,https://omnifile.co/vi/json/,Định dạng JSON,"越南语结果多为全球工具或工具集合，本地开发者品牌壁垒有限。",2026-07-17
password-generator,VN,tạo mật khẩu,5,2,4,bietmaytinh.com,https://bietmaytinh.com/tao-mat-khau/,Tạo mật khẩu ngẫu nhiên,"精确本地工具结果较少且质量分散；适合作为安全工具簇验证，不适合单独收费。",2026-07-17
